,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
120,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.1753,1.0,flower2_pair.jpg,flower2.jpg,right,A2TCX20FIMNWSS
121,6,2.0,left.jpg,left,0.7957,left,14.0,left,1.0,1.7583,2.0,flower3.jpg,flower3_pair.jpg,left,A2TCX20FIMNWSS
122,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.1904,3.0,flower4.jpg,flower4_pair.jpg,left,A2TCX20FIMNWSS
123,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.0234,4.0,flower5_pair.jpg,flower5.jpg,right,A2TCX20FIMNWSS
124,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.7747,5.0,flower6.jpg,flower6_pair.jpg,left,A2TCX20FIMNWSS
125,10,6.0,flower6.jpg,,,,,,,,,,,,A2TCX20FIMNWSS
126,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.7296,0.0,flower1.jpg,flower1_pair.jpg,left,A2VO0CD0Z21DE4
127,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.0228,1.0,flower2_pair.jpg,flower2.jpg,right,A2VO0CD0Z21DE4
128,6,2.0,left.jpg,left,1.5828,left,14.0,left,1.0,2.0545,2.0,flower3.jpg,flower3_pair.jpg,left,A2VO0CD0Z21DE4
129,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.2978,3.0,flower4.jpg,flower4_pair.jpg,left,A2VO0CD0Z21DE4
130,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.4668,4.0,flower5_pair.jpg,flower5.jpg,right,A2VO0CD0Z21DE4
131,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.3528,5.0,flower6.jpg,flower6_pair.jpg,left,A2VO0CD0Z21DE4
132,10,6.0,flower6.jpg,,,,,,,,,,,,A2VO0CD0Z21DE4
133,4,0.0,flower1.jpg,,,,12.0,left,1.0,43.4435,0.0,flower1.jpg,flower1_pair.jpg,left,A2WJMGV0HKQG3Z
134,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.1947,1.0,flower2_pair.jpg,flower2.jpg,right,A2WJMGV0HKQG3Z
135,6,2.0,left.jpg,left,1.9946,left,14.0,left,1.0,1.4649,2.0,flower3.jpg,flower3_pair.jpg,left,A2WJMGV0HKQG3Z
136,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.8565,3.0,flower4.jpg,flower4_pair.jpg,left,A2WJMGV0HKQG3Z
137,8,4.0,flower4.jpg,,,,16.0,right,1.0,4.154,4.0,flower5_pair.jpg,flower5.jpg,right,A2WJMGV0HKQG3Z
138,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.8803,5.0,flower6.jpg,flower6_pair.jpg,left,A2WJMGV0HKQG3Z
139,10,6.0,flower6.jpg,,,,,,,,,,,,A2WJMGV0HKQG3Z
140,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.4642,0.0,flower1.jpg,flower1_pair.jpg,left,A306SRE7WZDAZS
141,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.0321,1.0,flower2_pair.jpg,flower2.jpg,right,A306SRE7WZDAZS
142,6,2.0,left.jpg,left,1.7497,left,14.0,left,1.0,3.3518,2.0,flower3.jpg,flower3_pair.jpg,left,A306SRE7WZDAZS
143,7,3.0,flower3.jpg,,,,15.0,left,1.0,5.3132,3.0,flower4.jpg,flower4_pair.jpg,left,A306SRE7WZDAZS
144,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.7977,4.0,flower5_pair.jpg,flower5.jpg,right,A306SRE7WZDAZS
145,9,5.0,flower5.jpg,,,,17.0,right,0.0,3.1147,5.0,flower6.jpg,flower6_pair.jpg,left,A306SRE7WZDAZS
146,10,6.0,flower6.jpg,,,,,,,,,,,,A306SRE7WZDAZS
147,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.9287,0.0,flower1.jpg,flower1_pair.jpg,left,A3A7ZQXHKZQ71I
148,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.3851,1.0,flower2_pair.jpg,flower2.jpg,right,A3A7ZQXHKZQ71I
149,6,2.0,left.jpg,left,1.4377,left,14.0,left,1.0,2.8271,2.0,flower3.jpg,flower3_pair.jpg,left,A3A7ZQXHKZQ71I
150,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.6981,3.0,flower4.jpg,flower4_pair.jpg,left,A3A7ZQXHKZQ71I
151,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.8944,4.0,flower5_pair.jpg,flower5.jpg,right,A3A7ZQXHKZQ71I
152,9,5.0,flower5.jpg,,,,17.0,right,0.0,3.2242,5.0,flower6.jpg,flower6_pair.jpg,left,A3A7ZQXHKZQ71I
153,10,6.0,flower6.jpg,,,,,,,,,,,,A3A7ZQXHKZQ71I
154,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.387,0.0,flower1.jpg,flower1_pair.jpg,left,A3L95FSCN74FIF
155,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.736,1.0,flower2_pair.jpg,flower2.jpg,right,A3L95FSCN74FIF
156,6,2.0,left.jpg,left,0.987,left,14.0,right,0.0,4.173,2.0,flower3.jpg,flower3_pair.jpg,left,A3L95FSCN74FIF
157,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.696,3.0,flower4.jpg,flower4_pair.jpg,left,A3L95FSCN74FIF
