image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,distractor_level
NICOBAR_PIGEON_1.jpg,ROSY_FACED_LOVEBIRD_2.jpg,0.29481626,0.35489473,0.2212818,0.14604671,0.115454905,0.38148692,0.4439001,2
EASTERN_TOWEE_1.jpg,NORTHERN_GANNET_2.jpg,0.36637938,0.31281686,0.2084021,0.124562606,0.14582105,0.18303216,0.16115735,0
NORTHERN_GANNET_2.jpg,VENEZUELIAN_TROUPIAL_1.jpg,0.30006814,0.28005254,0.2209028,0.19280094,0.18695891,0.12679148,0.08712201,1
HOODED_MERGANSER_4.jpg,NORTHERN_GANNET_2.jpg,0.29180902,0.28636497,0.21553424,0.14244395,0.11699808,0.2828261,0.4394267,2
EMERALD_TANAGER_2.jpg,NORTHERN_JACANA_2.jpg,0.49381173,0.30196843,0.16835158,0.106640495,0.09491353,0.19193903,0.17056583,0
CRAB_PLOVER_3.jpg,NORTHERN_JACANA_2.jpg,0.28847402,0.3097157,0.24745224,0.24110192,0.31948772,0.27380353,0.27835006,1
NORTHERN_JACANA_2.jpg,SCARLET_IBIS_4.jpg,0.21148787,0.22199675,0.1696282,0.15622422,0.27903542,0.31268218,0.33383885,2
BEARDED_BELLBIRD_3.jpg,NORTHERN_JACANA_3.jpg,0.5727016,0.36547947,0.22226657,0.17546864,0.15203561,0.17994094,0.2065775,0
ASHY_THRUSHBIRD_4.jpg,NORTHERN_JACANA_3.jpg,0.3415695,0.29831737,0.22404745,0.23694317,0.29424444,0.23616223,0.21755925,1
NORTHERN_JACANA_3.jpg,SHORT_BILLED_DOWITCHER_5.jpg,0.2238665,0.26287413,0.19957171,0.19793974,0.32077667,0.34295276,0.351225,2
KAKAPO_4.jpg,OCELLATED_TURKEY_1.jpg,0.49460235,0.3986193,0.23722294,0.120317504,0.16382894,0.14912577,0.13272361,0
AMERICAN_KESTREL_2.jpg,OCELLATED_TURKEY_1.jpg,0.30898273,0.2828173,0.17967522,0.14114612,0.13704373,0.17175767,0.15262264,1
GLOSSY_IBIS_2.jpg,OCELLATED_TURKEY_1.jpg,0.296924,0.29896578,0.20085378,0.14344256,0.31675372,0.4240115,0.41083804,2
OVENBIRD_5.jpg,TURQUOISE_MOTMOT_3.jpg,0.59122604,0.3051286,0.18535256,0.14876647,0.14663771,0.22828153,0.2686179,0
