,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target,category,correct,test_encoding_response.rt,key_resp_end.keys,subject
273,33,,1.0,13.0,golf_course_15.jpg,golf,,,,A2PBFKNWWIIAO8
274,34,,1.0,14.0,bridge_202.jpg,bridge,,,,A2PBFKNWWIIAO8
275,35,,1.0,15.0,bridge_256.jpg,bridge,,,,A2PBFKNWWIIAO8
276,36,right,1.0,16.0,right.jpg,,right,1.5725,,A2PBFKNWWIIAO8
277,37,,1.0,17.0,golf_course_309.jpg,golf,,,,A2PBFKNWWIIAO8
278,38,,1.0,18.0,highway_177.jpg,highway,,,,A2PBFKNWWIIAO8
279,39,,1.0,19.0,highway_394.jpg,highway,,,,A2PBFKNWWIIAO8
280,40,,1.0,20.0,bridge_146.jpg,bridge,,,,A2PBFKNWWIIAO8
281,41,,1.0,21.0,golf_course_195.jpg,golf,,,,A2PBFKNWWIIAO8
282,42,,1.0,22.0,highway_294.jpg,highway,,,,A2PBFKNWWIIAO8
283,43,,1.0,23.0,mountain_230.jpg,mountain,,,,A2PBFKNWWIIAO8
284,44,,1.0,24.0,badlands_70.jpg,badlands,,,,A2PBFKNWWIIAO8
285,45,,1.0,25.0,playground_240.jpg,playground,,,,A2PBFKNWWIIAO8
286,46,,1.0,26.0,golf_course_188.jpg,golf,,,,A2PBFKNWWIIAO8
287,47,,1.0,27.0,badlands_222.jpg,badlands,,,,A2PBFKNWWIIAO8
288,48,,1.0,28.0,badlands_184.jpg,badlands,,,,A2PBFKNWWIIAO8
289,49,left,1.0,29.0,left.jpg,,left,2.0836,,A2PBFKNWWIIAO8
290,50,,1.0,30.0,highway_209.jpg,highway,,,,A2PBFKNWWIIAO8
291,51,,1.0,31.0,badlands_52.jpg,badlands,,,,A2PBFKNWWIIAO8
292,52,,1.0,32.0,mountain_232.jpg,mountain,,,,A2PBFKNWWIIAO8
293,53,,1.0,33.0,bridge_250.jpg,bridge,,,,A2PBFKNWWIIAO8
294,54,,1.0,34.0,playground_145.jpg,playground,,,,A2PBFKNWWIIAO8
295,55,,1.0,35.0,mountain_293.jpg,mountain,,,,A2PBFKNWWIIAO8
296,56,left,1.0,36.0,left.jpg,,left,1.5466,,A2PBFKNWWIIAO8
297,57,,1.0,37.0,playground_131.jpg,playground,,,,A2PBFKNWWIIAO8
298,58,,1.0,38.0,badlands_113.jpg,badlands,,,,A2PBFKNWWIIAO8
299,59,,1.0,39.0,mountain_110.jpg,mountain,,,,A2PBFKNWWIIAO8
300,60,,1.0,40.0,bridge_65.jpg,bridge,,,,A2PBFKNWWIIAO8
301,61,,1.0,41.0,playground_219.jpg,playground,,,,A2PBFKNWWIIAO8
302,62,,1.0,42.0,playground_144.jpg,playground,,,,A2PBFKNWWIIAO8
303,63,,1.0,43.0,highway_273.jpg,highway,,,,A2PBFKNWWIIAO8
304,64,,1.0,44.0,playground_76.jpg,playground,,,,A2PBFKNWWIIAO8
305,65,,1.0,45.0,badlands_23.jpg,badlands,,,,A2PBFKNWWIIAO8
306,66,,1.0,46.0,mountain_156.jpg,mountain,,,,A2PBFKNWWIIAO8
307,67,,1.0,47.0,highway_93.jpg,highway,,,,A2PBFKNWWIIAO8
308,68,,1.0,48.0,mountain_123.jpg,mountain,,,,A2PBFKNWWIIAO8
309,69,,1.0,49.0,highway_359.jpg,highway,,,,A2PBFKNWWIIAO8
310,70,,1.0,50.0,golf_course_193.jpg,golf,,,,A2PBFKNWWIIAO8
311,71,right,1.0,51.0,right.jpg,,right,1.593,,A2PBFKNWWIIAO8
312,72,,1.0,52.0,golf_course_214.jpg,golf,,,,A2PBFKNWWIIAO8
313,73,,1.0,53.0,mountain_57.jpg,mountain,,,,A2PBFKNWWIIAO8
314,74,,1.0,54.0,bridge_172.jpg,bridge,,,,A2PBFKNWWIIAO8
315,75,,1.0,55.0,bridge_91.jpg,bridge,,,,A2PBFKNWWIIAO8
316,76,,1.0,56.0,golf_course_331.jpg,golf,,,,A2PBFKNWWIIAO8
317,77,,1.0,57.0,highway_415.jpg,highway,,,,A2PBFKNWWIIAO8
318,78,,1.0,58.0,mountain_101.jpg,mountain,,,,A2PBFKNWWIIAO8
