,workID,Age,Gender,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,test_key_resp.keys,test_key_resp.rt,distractor_level,category,selected_dist,slider_part2.response,slider_part2.rt,subject
47,AFOEARBOY26DU,35,Male,bridge_250.jpg,bridge_134.jpg,bridge_250.jpg,right,badlands_33.jpg,mountain_38.jpg,golf_course_212.jpg,playground_37.jpg,bridge_250.jpg,highway_305.jpg,4.0,right,3.3721,0.0,bridge,bridge_134.jpg,6.936073059,1.2402,AFOEARBOY26DU
48,AFOEARBOY26DU,35,Male,bridge_128.jpg,bridge_61.jpg,bridge_128.jpg,right,mountain_34.jpg,highway_365.jpg,bridge_128.jpg,badlands_6.jpg,golf_course_308.jpg,playground_6.jpg,2.0,right,2.0626,0.0,bridge,bridge_61.jpg,6.04718417,1.4988,AFOEARBOY26DU
49,AFOEARBOY26DU,35,Male,highway_93.jpg,highway_93.jpg,highway_85.jpg,left,highway_93.jpg,bridge_68.jpg,badlands_27.jpg,playground_258.jpg,mountain_32.jpg,golf_course_238.jpg,0.0,left,15.3236,0.0,highway,highway_85.jpg,6.03500761,1.8012,AFOEARBOY26DU
50,AFOEARBOY26DU,35,Male,playground_144.jpg,playground_144.jpg,playground_65.jpg,left,badlands_173.jpg,playground_144.jpg,golf_course_194.jpg,mountain_151.jpg,highway_178.jpg,bridge_164.jpg,1.0,right,1.7741,1.0,playground,playground_65.jpg,6.863013699,1.1653,AFOEARBOY26DU
51,AFOEARBOY26DU,35,Male,mountain_154.jpg,mountain_154.jpg,mountain_131.jpg,left,playground_110.jpg,bridge_118.jpg,mountain_154.jpg,badlands_105.jpg,highway_90.jpg,golf_course_181.jpg,2.0,right,14.344,0.0,mountain,mountain_131.jpg,5.913242009,4.7046,AFOEARBOY26DU
52,AFOEARBOY26DU,35,Male,highway_359.jpg,highway_389.jpg,highway_359.jpg,right,playground_64.jpg,golf_course_42.jpg,badlands_80.jpg,mountain_228.jpg,highway_359.jpg,bridge_140.jpg,4.0,right,2.3153,0.0,highway,highway_389.jpg,5.98630137,0.4287,AFOEARBOY26DU
53,AFOEARBOY26DU,35,Male,mountain_110.jpg,mountain_157.jpg,mountain_110.jpg,right,badlands_35.jpg,mountain_110.jpg,highway_138.jpg,bridge_24.jpg,playground_235.jpg,golf_course_137.jpg,1.0,left,1.9234,0.0,mountain,mountain_157.jpg,6.97260274,1.5864,AFOEARBOY26DU
54,AFOEARBOY26DU,35,Male,badlands_21.jpg,badlands_21.jpg,badlands_1.jpg,left,badlands_21.jpg,playground_14.jpg,highway_383.jpg,golf_course_226.jpg,mountain_19.jpg,bridge_133.jpg,0.0,right,1.97,0.0,badlands,badlands_1.jpg,6.97260274,1.3762,AFOEARBOY26DU
55,AFOEARBOY26DU,35,Male,highway_273.jpg,highway_171.jpg,highway_273.jpg,right,playground_61.jpg,highway_273.jpg,mountain_198.jpg,golf_course_116.jpg,bridge_142.jpg,badlands_175.jpg,1.0,left,1.6285,1.0,highway,highway_171.jpg,6.97260274,0.973,AFOEARBOY26DU
56,AFOEARBOY26DU,35,Male,mountain_232.jpg,mountain_232.jpg,mountain_3.jpg,left,bridge_124.jpg,highway_308.jpg,badlands_79.jpg,playground_222.jpg,mountain_232.jpg,golf_course_307.jpg,4.0,right,1.6962,0.0,mountain,mountain_3.jpg,5.99847793,1.2544,AFOEARBOY26DU
